Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
6,4,0,2336.96,1137.99,1504.88,Black_Cut,Endless
7,0,3,2422.94,1164.3,1477.7,Black_Cut,Endless
7,1,2,2402.97,1155.43,1486.03,Black_Cut,Endless
7,2,1,2383.22,1146.67,1494.14,Black_Cut,Endless
7,3,0,2363.67,1137.99,1502.02,Black_Cut,Endless
8,0,2,2430.16,1155.43,1481.76,Black_Cut,Endless
8,1,1,2410.17,1146.67,1490.34,Black_Cut,Endless
8,2,0,2390.38,1137.99,1498.68,Black_Cut,Endless
9,0,1,2437.11,1146.67,1486.05,Black_Cut,Endless
9,1,0,2417.09,1137.99,1494.86,Black_Cut,Endless
10,0,0,2443.8,1137.99,1490.56,Black_Cut,Endless
0,0,10,2320.67,1607.19,1749.89,Master,Black_Cut
0,1,9,2300.46,1593.69,1746.35,Master,Black_Cut
0,2,8,2280.47,1580.34,1742.77,Master,Black_Cut
0,3,7,2260.7,1567.14,1739.14,Master,Black_Cut
0,4,6,2241.14,1554.08,1735.46,Master,Black_Cut
0,5,5,2221.8,1541.16,1731.74,Master,Black_Cut
0,6,4,2202.66,1528.38,1727.96,Master,Black_Cut
0,7,3,2183.73,1515.73,1724.15,Master,Black_Cut
0,8,2,2164.99,1503.22,1720.28,Master,Black_Cut
0,9,1,2146.46,1490.84,1716.38,Master,Black_Cut
0,10,0,2128.12,1478.6,1712.43,Master,Black_Cut
1,0,9,2325.9,1593.69,1745.26,Master,Black_Cut
1,1,8,2305.67,1580.34,1742.09,Master,Black_Cut
1,2,7,2285.67,1567.14,1738.87,Master,Black_Cut
1,3,6,2265.88,1554.08,1735.58,Master,Black_Cut
1,4,5,2246.3,1541.16,1732.25,Master,Black_Cut
1,5,4,2226.93,1528.38,1728.86,Master,Black_Cut
1,6,3,2207.77,1515.73,1725.42,Master,Black_Cut
1,7,2,2188.82,1503.22,1721.93,Master,Black_Cut
1,8,1,2170.06,1490.84,1718.38,Master,Black_Cut
1,9,0,2151.51,1478.6,1714.79,Master,Black_Cut
2,0,8,2330.88,1580.34,1740.96,Master,Black_Cut
2,1,7,2310.63,1567.14,1738.14,Master,Black_Cut
2,2,6,2290.61,1554.08,1735.26,Master,Black_Cut
2,3,5,2270.8,1541.16,1732.32,Master,Black_Cut
2,4,4,2251.21,1528.38,1729.32,Master,Black_Cut
2,5,3,2231.82,1515.73,1726.26,Master,Black_Cut
2,6,2,2212.64,1503.22,1723.14,Master,Black_Cut
2,7,1,2193.67,1490.84,1719.96,Master,Black_Cut
2,8,0,2174.89,1478.6,1716.73,Master,Black_Cut
3,0,7,2335.6,1567.14,1736.97,Master,Black_Cut
3,1,6,2315.34,1554.08,1734.5,Master,Black_Cut
3,2,5,2295.3,1541.16,1731.96,Master,Black_Cut
3,3,4,2275.48,1528.38,1729.35,Master,Black_Cut
3,4,3,2255.87,1515.73,1726.67,Master,Black_Cut
3,5,2,2236.47,1503.22,1723.93,Master,Black_Cut
3,6,1,2217.27,1490.84,1721.12,Master,Black_Cut
3,7,0,2198.27,1478.6,1718.25,Master,Black_Cut
4,0,6,2340.08,1554.08,1733.28,Master,Black_Cut
4,1,5,2319.81,1541.16,1731.15,Master,Black_Cut
4,2,4,2299.76,1528.38,1728.93,Master,Black_Cut
4,3,3,2279.92,1515.73,1726.65,Master,Black_Cut
4,4,2,2260.29,1503.22,1724.29,Master,Black_Cut
4,5,1,2240.87,1490.84,1721.85,Master,Black_Cut
4,6,0,2221.65,1478.6,1719.35,Master,Black_Cut
5,0,5,2344.31,1541.16,1729.9,Master,Black_Cut
5,1,4,2324.03,1528.38,1728.08,Master,Black_Cut
5,2,3,2303.96,1515.73,1726.19,Master,Black_Cut
5,3,2,2284.11,1503.22,1724.21,Master,Black_Cut
5,4,1,2264.47,1490.84,1722.16,Master,Black_Cut
5,5,0,2245.04,1478.6,1720.03,Master,Black_Cut
6,0,4,2348.3,1528.38,1726.8,Master,Black_Cut
6,1,3,2328.01,1515.73,1725.3,Master,Black_Cut
6,2,2,2307.94,1503.22,1723.71,Master,Black_Cut
6,3,1,2288.07,1490.84,1722.04,Master,Black_Cut
6,4,0,2268.42,1478.6,1720.28,Master,Black_Cut
7,0,3,2352.06,1515.73,1723.98,Master,Black_Cut
7,1,2,2331.76,1503.22,1722.78,Master,Black_Cut
7,2,1,2311.68,1490.84,1721.5,Master,Black_Cut
7,3,0,2291.8,1478.6,1720.12,Master,Black_Cut
8,0,2,2355.58,1503.22,1721.43,Master,Black_Cut
8,1,1,2335.28,1490.84,1720.53,Master,Black_Cut
8,2,0,2315.19,1478.6,1719.53,Master,Black_Cut
9,0,1,2358.88,1490.84,1719.14,Master,Black_Cut
9,1,0,2338.57,1478.6,1718.53,Master,Black_Cut
10,0,0,2361.95,1478.6,1717.1,Master,Black_Cut
