Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
5,3,2,1818.47,834.163,915.861,Black_Cut
5,4,1,1801.13,826.206,922.724,Black_Cut
5,5,0,1783.99,818.344,929.393,Black_Cut
6,0,4,1884.41,850.366,893.795,Black_Cut
6,1,3,1866.35,842.215,901.615,Black_Cut
6,2,2,1848.5,834.163,909.224,Black_Cut
6,3,1,1830.87,826.206,916.626,Black_Cut
6,4,0,1813.45,818.344,923.825,Black_Cut
7,0,3,1896.67,842.215,893.884,Black_Cut
7,1,2,1878.53,834.163,902.047,Black_Cut
7,2,1,1860.62,826.206,909.993,Black_Cut
7,3,0,1842.91,818.344,917.727,Black_Cut
8,0,2,1908.56,834.163,894.329,Black_Cut
8,1,1,1890.36,826.206,902.825,Black_Cut
8,2,0,1872.37,818.344,911.098,Black_Cut
9,0,1,1920.1,826.206,895.122,Black_Cut
9,1,0,1901.83,818.344,903.939,Black_Cut
10,0,0,1931.29,818.344,896.25,Black_Cut
0,0,10,1872.89,1170.56,1311.02,Master
0,1,9,1856.51,1160.32,1310.69,Master
0,2,8,1840.29,1150.18,1310.29,Master
0,3,7,1824.24,1140.15,1309.81,Master
0,4,6,1808.35,1130.22,1309.25,Master
0,5,5,1792.62,1120.39,1308.61,Master
0,6,4,1777.05,1110.66,1307.91,Master
0,7,3,1761.63,1101.02,1307.13,Master
0,8,2,1746.36,1091.48,1306.28,Master
0,9,1,1731.24,1082.03,1305.36,Master
0,10,0,1716.27,1072.67,1304.37,Master
1,0,9,1881.57,1160.32,1309.62,Master
1,1,8,1865.14,1150.18,1309.62,Master
1,2,7,1848.87,1140.15,1309.54,Master
1,3,6,1832.77,1130.22,1309.37,Master
1,4,5,1816.82,1120.39,1309.12,Master
1,5,4,1801.04,1110.66,1308.8,Master
1,6,3,1785.41,1101.02,1308.39,Master
1,7,2,1769.94,1091.48,1307.9,Master
1,8,1,1754.61,1082.03,1307.34,Master
1,9,0,1739.44,1072.67,1306.71,Master
2,0,8,1889.98,1150.18,1308.5,Master
2,1,7,1873.5,1140.15,1308.82,Master
2,2,6,1857.18,1130.22,1309.05,Master
2,3,5,1841.02,1120.39,1309.2,Master
2,4,4,1825.03,1110.66,1309.25,Master
2,5,3,1809.19,1101.02,1309.22,Master
2,6,2,1793.51,1091.48,1309.11,Master
2,7,1,1777.99,1082.03,1308.91,Master
2,8,0,1762.61,1072.67,1308.63,Master
3,0,7,1898.12,1140.15,1307.66,Master
3,1,6,1881.59,1130.22,1308.3,Master
3,2,5,1865.22,1120.39,1308.83,Master
3,3,4,1849.02,1110.66,1309.27,Master
3,4,3,1832.97,1101.02,1309.63,Master
3,5,2,1817.09,1091.48,1309.88,Master
3,6,1,1801.36,1082.03,1310.05,Master
3,7,0,1785.78,1072.67,1310.14,Master
4,0,6,1906,1130.22,1307.1,Master
4,1,5,1889.42,1120.39,1308.03,Master
4,2,4,1873.01,1110.66,1308.87,Master
4,3,3,1856.76,1101.02,1309.6,Master
4,4,2,1840.66,1091.48,1310.24,Master
4,5,1,1824.73,1082.03,1310.78,Master
4,6,0,1808.95,1072.67,1311.22,Master
5,0,5,1913.62,1120.39,1306.8,Master
5,1,4,1897,1110.66,1308.03,Master
5,2,3,1880.54,1101.02,1309.15,Master
5,3,2,1864.24,1091.48,1310.17,Master
5,4,1,1848.1,1082.03,1311.08,Master
5,5,0,1832.12,1072.67,1311.9,Master
6,0,4,1920.99,1110.66,1306.76,Master
6,1,3,1904.32,1101.02,1308.27,Master
6,2,2,1887.82,1091.48,1309.67,Master
6,3,1,1871.47,1082.03,1310.97,Master
6,4,0,1855.29,1072.67,1312.15,Master
7,0,3,1928.1,1101.02,1306.96,Master
7,1,2,1911.39,1091.48,1308.75,Master
7,2,1,1894.84,1082.03,1310.43,Master
7,3,0,1878.46,1072.67,1311.99,Master
8,0,2,1934.97,1091.48,1307.41,Master
8,1,1,1918.22,1082.03,1309.47,Master
8,2,0,1901.63,1072.67,1311.41,Master
9,0,1,1941.59,1082.03,1308.09,Master
9,1,0,1924.8,1072.67,1310.41,Master
10,0,0,1947.97,1072.67,1309,Master
0,0,10,1901.7,792.376,1014.24,Endless
0,1,9,1885.86,785.774,1023.39,Endless
0,2,8,1870.17,779.239,1032.34,Endless
0,3,7,1854.65,772.769,1041.07,Endless
0,4,6,1839.28,766.365,1049.61,Endless
0,5,5,1824.06,760.025,1057.95,Endless
0,6,4,1809,753.748,1066.1,Endless
0,7,3,1794.08,747.533,1074.06,Endless
0,8,2,1779.31,741.379,1081.82,Endless
0,9,1,1764.69,735.286,1089.4,Endless
0,10,0,1750.2,729.252,1096.8,Endless
1,0,9,1914.14,785.774,1019.35,Endless
1,1,8,1898.23,779.239,1028.77,Endless
1,2,7,1882.47,772.769,1037.99,Endless
1,3,6,1866.87,766.365,1046.99,Endless
1,4,5,1851.42,760.025,1055.79,Endless
1,5,4,1836.13,753.748,1064.39,Endless
1,6,3,1820.99,747.533,1072.79,Endless
1,7,2,1806,741.379,1080.99,Endless
1,8,1,1791.16,735.286,1089,Endless
1,9,0,1776.46,729.252,1096.82,Endless
2,0,8,1926.28,779.239,1024.7,Endless
2,1,7,1910.29,772.769,1034.4,Endless
2,2,6,1894.45,766.365,1043.88,Endless
2,3,5,1878.78,760.025,1053.14,Endless
2,4,4,1863.26,753.748,1062.19,Endless
2,5,3,1847.9,747.533,1071.04,Endless
2,6,2,1832.69,741.379,1079.69,Endless
2,7,1,1817.63,735.286,1088.13,Endless
2,8,0,1802.71,729.252,1096.38,Endless
3,0,7,1938.11,772.769,1030.31,Endless
3,1,6,1922.04,766.365,1040.26,Endless
3,2,5,1906.14,760.025,1049.99,Endless
3,3,4,1890.4,753.748,1059.51,Endless
3,4,3,1874.81,747.533,1068.81,Endless
3,5,2,1859.38,741.379,1077.9,Endless
3,6,1,1844.1,735.286,1086.78,Endless
3,7,0,1828.96,729.252,1095.46,Endless
4,0,6,1949.63,766.365,1036.15,Endless
4,1,5,1933.5,760.025,1046.35,Endless
4,2,4,1917.53,753.748,1056.33,Endless
4,3,3,1901.72,747.533,1066.09,Endless
4,4,2,1886.07,741.379,1075.63,Endless
4,5,1,1870.57,735.286,1084.95,Endless
4,6,0,1855.22,729.252,1094.06,Endless
5,0,5,1960.86,760.025,1042.22,Endless
5,1,4,1944.67,753.748,1052.67,Endless
5,2,3,1928.64,747.533,1062.89,Endless
5,3,2,1912.76,741.379,1072.88,Endless
5,4,1,1897.04,735.286,1082.65,Endless
5,5,0,1881.47,729.252,1092.2,Endless
6,0,4,1971.8,753.748,1048.52,Endless
6,1,3,1955.55,747.533,1059.2,Endless
6,2,2,1939.45,741.379,1069.65,Endless
6,3,1,1923.51,735.286,1079.87,Endless
6,4,0,1907.72,729.252,1089.86,Endless
7,0,3,1982.46,747.533,1055.03,Endless
7,1,2,1966.14,741.379,1065.94,Endless
7,2,1,1949.98,735.286,1076.61,Endless
7,3,0,1933.98,729.252,1087.06,Endless
8,0,2,1992.83,741.379,1061.75,Endless
8,1,1,1976.45,735.286,1072.88,Endless
8,2,0,1960.23,729.252,1083.77,Endless
9,0,1,2002.92,735.286,1068.67,Endless
9,1,0,1986.48,729.252,1080.02,Endless
10,0,0,2012.74,729.252,1075.79,Endless
