Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
3,6,1,2941.14,1412.1,1896.8,Black_Cut,Endless
3,7,0,2919.03,1402.03,1907.19,Black_Cut,Endless
4,0,6,3093.23,1464.1,1835.54,Black_Cut,Endless
4,1,5,3069.61,1453.48,1847.81,Black_Cut,Endless
4,2,4,3046.25,1442.97,1859.82,Black_Cut,Endless
4,3,3,3023.13,1432.57,1871.56,Black_Cut,Endless
4,4,2,3000.27,1422.28,1883.05,Black_Cut,Endless
4,5,1,2977.64,1412.1,1894.29,Black_Cut,Endless
4,6,0,2955.25,1402.03,1905.27,Black_Cut,Endless
5,0,5,3107.3,1453.48,1842.12,Black_Cut,Endless
5,1,4,3083.63,1442.97,1854.77,Black_Cut,Endless
5,2,3,3060.22,1432.57,1867.15,Black_Cut,Endless
5,3,2,3037.06,1422.28,1879.26,Black_Cut,Endless
5,4,1,3014.14,1412.1,1891.11,Black_Cut,Endless
5,5,0,2991.46,1402.03,1902.7,Black_Cut,Endless
6,0,4,3121.01,1442.97,1849.05,Black_Cut,Endless
6,1,3,3097.31,1432.57,1862.07,Black_Cut,Endless
6,2,2,3073.85,1422.28,1874.81,Black_Cut,Endless
6,3,1,3050.64,1412.1,1887.28,Black_Cut,Endless
6,4,0,3027.68,1402.03,1899.48,Black_Cut,Endless
7,0,3,3134.39,1432.57,1856.32,Black_Cut,Endless
7,1,2,3110.64,1422.28,1869.69,Black_Cut,Endless
7,2,1,3087.15,1412.1,1882.79,Black_Cut,Endless
7,3,0,3063.89,1402.03,1895.6,Black_Cut,Endless
8,0,2,3147.44,1422.28,1863.92,Black_Cut,Endless
8,1,1,3123.65,1412.1,1877.64,Black_Cut,Endless
8,2,0,3100.11,1402.03,1891.07,Black_Cut,Endless
9,0,1,3160.15,1412.1,1871.84,Black_Cut,Endless
9,1,0,3136.32,1402.03,1885.9,Black_Cut,Endless
10,0,0,3172.54,1402.03,1880.07,Black_Cut,Endless
0,0,10,3063.88,2071.7,2270.13,Master,Black_Cut
0,1,9,3039.56,2055.63,2268.16,Master,Black_Cut
0,2,8,3015.51,2039.74,2266.12,Master,Black_Cut
0,3,7,2991.72,2024.03,2264.02,Master,Black_Cut
0,4,6,2968.19,2008.48,2261.85,Master,Black_Cut
0,5,5,2944.92,1993.11,2259.62,Master,Black_Cut
0,6,4,2921.89,1977.9,2257.32,Master,Black_Cut
0,7,3,2899.11,1962.85,2254.96,Master,Black_Cut
0,8,2,2876.58,1947.96,2252.55,Master,Black_Cut
0,9,1,2854.28,1933.23,2250.07,Master,Black_Cut
0,10,0,2832.22,1918.65,2247.54,Master,Black_Cut
1,0,9,3074.99,2055.63,2266.64,Master,Black_Cut
1,1,8,3050.64,2039.74,2265.17,Master,Black_Cut
1,2,7,3026.56,2024.03,2263.63,Master,Black_Cut
1,3,6,3002.74,2008.48,2262.02,Master,Black_Cut
1,4,5,2979.18,1993.11,2260.33,Master,Black_Cut
1,5,4,2955.88,1977.9,2258.58,Master,Black_Cut
1,6,3,2932.82,1962.85,2256.75,Master,Black_Cut
1,7,2,2910.01,1947.96,2254.85,Master,Black_Cut
1,8,1,2887.44,1933.23,2252.89,Master,Black_Cut
1,9,0,2865.1,1918.65,2250.86,Master,Black_Cut
2,0,8,3085.77,2039.74,2263.59,Master,Black_Cut
2,1,7,3061.4,2024.03,2262.62,Master,Black_Cut
2,2,6,3037.29,2008.48,2261.57,Master,Black_Cut
2,3,5,3013.45,1993.11,2260.44,Master,Black_Cut
2,4,4,2989.86,1977.9,2259.22,Master,Black_Cut
2,5,3,2966.53,1962.85,2257.93,Master,Black_Cut
2,6,2,2943.44,1947.96,2256.56,Master,Black_Cut
2,7,1,2920.6,1933.23,2255.11,Master,Black_Cut
2,8,0,2897.99,1918.65,2253.59,Master,Black_Cut
3,0,7,3096.24,2024.03,2260.99,Master,Black_Cut
3,1,6,3071.84,2008.48,2260.5,Master,Black_Cut
3,2,5,3047.71,1993.11,2259.92,Master,Black_Cut
3,3,4,3023.85,1977.9,2259.26,Master,Black_Cut
3,4,3,3000.23,1962.85,2258.5,Master,Black_Cut
3,5,2,2976.87,1947.96,2257.66,Master,Black_Cut
3,6,1,2953.75,1933.23,2256.74,Master,Black_Cut
3,7,0,2930.88,1918.65,2255.73,Master,Black_Cut
4,0,6,3106.39,2008.48,2258.81,Master,Black_Cut
4,1,5,3081.98,1993.11,2258.79,Master,Black_Cut
4,2,4,3057.83,1977.9,2258.68,Master,Black_Cut
4,3,3,3033.94,1962.85,2258.47,Master,Black_Cut
4,4,2,3010.3,1947.96,2258.16,Master,Black_Cut
4,5,1,2986.91,1933.23,2257.76,Master,Black_Cut
4,6,0,2963.77,1918.65,2257.27,Master,Black_Cut
5,0,5,3116.24,1993.11,2257.05,Master,Black_Cut
5,1,4,3091.81,1977.9,2257.49,Master,Black_Cut
5,2,3,3067.64,1962.85,2257.83,Master,Black_Cut
5,3,2,3043.73,1947.96,2258.06,Master,Black_Cut
5,4,1,3020.07,1933.23,2258.2,Master,Black_Cut
5,5,0,2996.66,1918.65,2258.23,Master,Black_Cut
6,0,4,3125.8,1977.9,2255.69,Master,Black_Cut
6,1,3,3101.35,1962.85,2256.58,Master,Black_Cut
6,2,2,3077.16,1947.96,2257.36,Master,Black_Cut
6,3,1,3053.23,1933.23,2258.03,Master,Black_Cut
6,4,0,3029.55,1918.65,2258.59,Master,Black_Cut
7,0,3,3135.05,1962.85,2254.73,Master,Black_Cut
7,1,2,3110.59,1947.96,2256.06,Master,Black_Cut
7,2,1,3086.38,1933.23,2257.27,Master,Black_Cut
7,3,0,3062.43,1918.65,2258.36,Master,Black_Cut
8,0,2,3144.02,1947.96,2254.15,Master,Black_Cut
8,1,1,3119.54,1933.23,2255.91,Master,Black_Cut
8,2,0,3095.32,1918.65,2257.54,Master,Black_Cut
9,0,1,3152.7,1933.23,2253.95,Master,Black_Cut
9,1,0,3128.21,1918.65,2256.12,Master,Black_Cut
10,0,0,3161.1,1918.65,2254.11,Master,Black_Cut
