Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon1,Weapon2
2,3,5,2606.69,1586.35,1853.68,Master,Black_Cut
2,4,4,2585.29,1573.33,1854.65,Master,Black_Cut
2,5,3,2564.12,1560.44,1855.52,Master,Black_Cut
2,6,2,2543.17,1547.7,1856.29,Master,Black_Cut
2,7,1,2522.45,1535.08,1856.96,Master,Black_Cut
2,8,0,2501.94,1522.6,1857.54,Master,Black_Cut
3,0,7,2685.03,1612.83,1849.78,Master,Black_Cut
3,1,6,2662.88,1599.52,1851.53,Master,Black_Cut
3,2,5,2640.96,1586.35,1853.17,Master,Black_Cut
3,3,4,2619.28,1573.33,1854.69,Master,Black_Cut
3,4,3,2597.82,1560.44,1856.1,Master,Black_Cut
3,5,2,2576.6,1547.7,1857.4,Master,Black_Cut
3,6,1,2555.61,1535.08,1858.59,Master,Black_Cut
3,7,0,2534.83,1522.6,1859.67,Master,Black_Cut
4,0,6,2697.43,1599.52,1849.84,Master,Black_Cut
4,1,5,2675.22,1586.35,1852.04,Master,Black_Cut
4,2,4,2653.26,1573.33,1854.11,Master,Black_Cut
4,3,3,2631.53,1560.44,1856.06,Master,Black_Cut
4,4,2,2610.03,1547.7,1857.9,Master,Black_Cut
4,5,1,2588.76,1535.08,1859.62,Master,Black_Cut
4,6,0,2567.72,1522.6,1861.22,Master,Black_Cut
5,0,5,2709.49,1586.35,1850.29,Master,Black_Cut
5,1,4,2687.24,1573.33,1852.92,Master,Black_Cut
5,2,3,2665.24,1560.44,1855.42,Master,Black_Cut
5,3,2,2643.46,1547.7,1857.8,Master,Black_Cut
5,4,1,2621.92,1535.08,1860.05,Master,Black_Cut
5,5,0,2600.6,1522.6,1862.17,Master,Black_Cut
6,0,4,2721.23,1573.33,1851.12,Master,Black_Cut
6,1,3,2698.94,1560.44,1854.18,Master,Black_Cut
6,2,2,2676.89,1547.7,1857.1,Master,Black_Cut
6,3,1,2655.08,1535.08,1859.88,Master,Black_Cut
6,4,0,2633.49,1522.6,1862.53,Master,Black_Cut
7,0,3,2732.65,1560.44,1852.32,Master,Black_Cut
7,1,2,2710.32,1547.7,1855.79,Master,Black_Cut
7,2,1,2688.24,1535.08,1859.12,Master,Black_Cut
7,3,0,2666.38,1522.6,1862.3,Master,Black_Cut
8,0,2,2743.75,1547.7,1853.89,Master,Black_Cut
8,1,1,2721.39,1535.08,1857.76,Master,Black_Cut
8,2,0,2699.27,1522.6,1861.48,Master,Black_Cut
9,0,1,2754.55,1535.08,1855.8,Master,Black_Cut
9,1,0,2732.16,1522.6,1860.07,Master,Black_Cut
10,0,0,2765.05,1522.6,1858.06,Master,Black_Cut
