Unparalleled,Source,Variance,Crit_Damage,Normal_Damage,Average_Damage,Weapon
5,3,2,2283.45,1112.07,1443.57,Endless
5,4,1,2265.91,1104.16,1451.52,Endless
5,5,0,2248.54,1096.33,1459.27,Endless
6,0,4,2346.18,1128.13,1422.9,Endless
6,1,3,2328.07,1120.06,1431.73,Endless
6,2,2,2310.14,1112.07,1440.34,Endless
6,3,1,2292.38,1104.16,1448.74,Endless
6,4,0,2274.8,1096.33,1456.94,Endless
7,0,3,2354.98,1120.06,1427.55,Endless
7,1,2,2336.83,1112.07,1436.63,Endless
7,2,1,2318.85,1104.16,1445.49,Endless
7,3,0,2301.05,1096.33,1454.13,Endless
8,0,2,2363.52,1112.07,1432.44,Endless
8,1,1,2345.32,1104.16,1441.75,Endless
8,2,0,2327.3,1096.33,1450.85,Endless
9,0,1,2371.79,1104.16,1437.55,Endless
9,1,0,2353.56,1096.33,1447.09,Endless
10,0,0,2379.81,1096.33,1442.87,Endless
